Date,Year,Time,DOY,Year_DOY,NEE,Re,GPP,NDVI,Temp,PAR,PAR_vis,LAI,Re_mod1,Re_mod2,Re_mod3,Resid1,Resid2,Resid3,,Re params,ER1,ER2,ER3
2009.579235,2009,213,213,2009_213,-0.889437567,1.789929935,2.679367502,0.655594743,16.02,26.60171879,26.60171879,0.518843584,1.285228864,1.435731448,1.448898862,0.254723171,0.125456568,0.116302193,,,,,
2009.581967,2009,214,214,2009_214,-1.091420095,1.594389415,2.68580951,0.611850323,17.16,40.18257154,40.18257154,0.364388975,0.920297955,1.325947346,1.360225802,0.454399296,0.072061144,0.054832598,,,,,
2009.584699,2009,215,215,2009_215,-0.944410962,1.558595237,2.5030062,0.709708837,17.59,24.21206672,24.21206672,0.80331936,2.043746981,1.714779392,1.712607319,0.235372215,0.02439349,0.023719721,,,,,
2009.587432,2009,216,216,2009_216,-1.344153069,1.423857991,2.76801106,0.709463101,20.17,18.39875815,18.39875815,0.801726249,2.131174427,1.799903391,1.79424372,0.50029654,0.141410143,0.137185588,,,,,
2009.590164,2009,217,217,2009_217,-1.925797671,1.405163527,3.330961198,0.690190158,18.65,26.18814188,26.18814188,0.686135135,1.777366298,1.641981682,1.653214463,0.138534903,0.056082839,0.061529267,,,,,
2009.592896,2009,218,218,2009_218,-1.437069224,1.24706321,2.684132434,0.683483684,11.46,30.5364391,30.5364391,0.649951464,1.489869098,1.443844722,1.423913333,0.058954699,0.038722963,0.031275966,,,,,
2009.595628,2009,219,219,2009_219,-0.411007647,1.131266049,1.542273695,0.624531737,15.26,31.73627593,31.73627593,0.403697638,0.987159712,1.331136923,1.342983827,0.020766636,0.039948366,0.044824417,,,,,
2009.598361,2009,220,220,2009_220,0.108891607,1.046583388,0.93769178,0.618117348,14.79,11.15440816,11.15440816,0.383311823,0.929848837,1.30881372,1.316391254,0.013626955,0.068764747,0.072796285,,,,,
2009.601093,2009,221,221,2009_221,0.01726228,0.917291042,0.900028762,0.654800072,3.489,6.438393734,6.438393734,0.515523488,1.031923852,1.251906145,1.149559351,0.013140681,0.111967267,0.053948567,,,,,
2009.603825,2009,222,222,2009_222,-0.778703207,0.984432035,1.763135242,0.016397311,1.312,10.1555754,0,0.002968254,0.00572562,1.015586896,0.808581929,0.957866247,0.000970625,0.03092326,,,,,
2009.606557,2009,223,223,2009_223,-0.743765861,0.84010384,1.583869701,0.578935553,11.21,37.73075329,37.73075329,0.279311186,0.637542583,1.196845177,1.160771939,0.041031063,0.127264382,0.10282803,,,,,
2009.60929,2009,224,224,2009_224,-1.516087109,0.85823302,2.374320129,0.632431208,13.85,21.70814561,21.70814561,0.430299067,1.027278947,1.331151987,1.328051111,0.028576525,0.223652349,0.220729039,,,,,
2009.612022,2009,225,225,2009_225,-0.439433049,0.79799425,1.2374273,0.638222162,11.75,28.9627939,28.9627939,0.450907192,1.03871422,1.316246979,1.292313349,0.057946104,0.268585891,0.244351371,,,,,
2009.614754,2009,226,226,2009_226,0.189004393,0.732321374,0.543316981,0.602354692,15.9,26.68040967,26.68040967,0.337482398,0.834274393,1.286953667,1.308868086,0.010394418,0.30761698,0.332406112,,,,,
2009.617486,2009,227,227,2009_227,-0.411225193,0.74516105,1.156386243,0.655971239,5.967,8.99963854,8.99963854,0.520424021,1.086568795,1.282603648,1.206059988,0.116559249,0.288844546,0.212427831,,,,,
2009.620219,2009,228,228,2009_228,-0.38541238,0.775928502,1.161340882,0.649911186,8.42,19.95443771,19.95443771,0.495560269,1.078729221,1.299756563,1.245168312,0.091688275,0.274395838,0.220185999,,,,,
2009.622951,2009,229,229,2009_229,0.051078598,0.814934544,0.763855946,0.632897429,16.62329582,21.64666601,21.64666601,0.431922747,1.080949984,1.374840475,1.398548095,0.070764215,0.313494652,0.340604777,,,,,
2009.628415,2009,231,231,2009_231,-0.230034701,0.709873724,0.939908425,0.604096111,7.266308366,23.77140139,23.77140139,0.342263551,0.730560674,1.201446887,1.120372617,0.00042795,0.241644174,0.168509341,,,,,
2009.631148,2009,232,232,2009_232,-0.19995175,0.712277234,0.912228984,0.624904347,12.23557949,28.3149522,28.3149522,0.404914621,0.94049937,1.291472569,1.271417461,0.052085343,0.335467236,0.312637794,,,,,
2009.63388,2009,233,233,2009_233,0.203894643,0.714896676,0.511002032,0.565135028,13.51750136,25.23449597,25.23449597,0.249845254,0.593107607,1.195548803,1.189637441,0.014832577,0.231026467,0.225378794,,,,,
2009.636612,2009,234,234,2009_234,-0.065669014,0.68484017,0.750509184,0.604810558,13.1006162,20.31093951,20.31093951,0.344244643,0.81142946,1.259349448,1.248248498,0.016024848,0.330060911,0.317428944,,,,,
2009.639344,2009,235,235,2009_235,-0.491515732,0.737223877,1.228739608,0.556046229,11.04745678,24.39071865,24.39071865,0.232158353,0.528451041,1.164925237,1.124767208,0.043586097,0.182928453,0.150189833,,,,,
2009.642077,2009,236,236,2009_236,-1.272479833,0.648572459,1.921052292,0.57605078,8.535723683,15.72985692,15.72985692,0.272877359,0.595166006,1.172330914,1.101002491,0.002852249,0.27432292,0.204692934,,,,,
2009.647541,2009,238,238,2009_238,-2.256536761,0.499889023,2.756425784,0.599016996,7.462244392,20.95885684,20.95885684,0.32850447,0.703532171,1.195523774,1.115509324,0.041470532,0.483907707,0.378988355,,,,,
2010.420765,2010,520,155,2010_155,-0.308487942,1.329256066,1.637744008,0.296705566,6.535,44.43550697,44.43550697,0.02857088,0.06023076,1.02945761,0.906090907,1.610425226,0.089879114,0.179068752,,,,,
2010.423497,2010,521,156,2010_156,0.183870943,1.210804035,1.026933092,0.230779728,13.06,50.04891118,50.04891118,0.01677382,0.039510779,1.026263516,1.012758096,1.371927892,0.034055203,0.039222194,,,,,
2010.42623,2010,522,157,2010_157,-0.31845559,1.070198859,1.388654449,0.544945605,20.33,54.84819234,54.84819234,0.212245904,0.56573605,1.22382269,1.317092301,0.254482725,0.023600281,0.060956372,,,,,
2010.428962,2010,523,158,2010_158,-0.382029343,1.129729909,1.511759252,0.548035054,18.14,58.05050708,58.05050708,0.217609685,0.558829101,1.208864736,1.269485252,0.325927732,0.006262321,0.019531556,,,,,
2010.431694,2010,524,159,2010_159,-0.685754825,1.231876168,1.917630993,0.546286384,21.38,50.77228065,50.77228065,0.21455728,0.582200166,1.23640191,1.344615315,0.422078907,2.05E-05,0.012710115,,,,,
2010.434426,2010,525,160,2010_160,-0.374811116,1.270944806,1.645755921,0.565914723,20.16,50.09171407,50.09171407,0.251423898,0.668229426,1.260588826,1.344957428,0.363265829,0.000107246,0.005477868,,,,,
2010.437158,2010,526,161,2010_161,-0.561284195,1.308438242,1.869722437,0.592302035,22.04,43.25606559,43.25606559,0.311159292,0.853858929,1.346136484,1.44255558,0.206642352,0.001421157,0.01798746,,,,,
2010.439891,2010,527,162,2010_162,-0.971596508,1.306887339,2.278483847,0.697698837,18.03,23.41942025,23.41942025,0.729042449,1.868707078,1.662791454,1.668197939,0.31564142,0.126667739,0.130545349,,,,,
2010.442623,2010,528,163,2010_163,-1.273592883,1.457371357,2.73096424,0.585094584,18.5,58.42940704,58.42940704,0.293559699,0.758500594,1.281062286,1.337995853,0.488420343,0.031084889,0.014250511,,,,,
2010.445355,2010,529,164,2010_164,-1.09664788,1.509992954,2.606640834,0.584412015,14.55,59.96266864,59.96266864,0.291945466,0.705325212,1.236203475,1.243356891,0.647490176,0.074960679,0.07109479,,,,,
2010.448087,2010,530,165,2010_165,-0.889666073,1.394697173,2.284363246,0.592031747,15.73,59.0955268,59.0955268,0.310480627,0.765308961,1.263221825,1.284484933,0.396129521,0.017285767,0.012146738,,,,,
2010.45082,2010,531,166,2010_166,-0.62777645,1.183352797,1.811129247,0.624080382,16.69,30.89213608,30.89213608,0.402228363,1.00777793,1.351071082,1.377526199,0.030826534,0.028129423,0.03770331,,,,,
2010.453552,2010,532,167,2010_167,-0.949425315,1.085865845,2.03529116,0.606609358,8.52,16.38527096,16.38527096,0.349283468,0.761609795,1.216422828,1.151043538,0.105141986,0.017045126,0.004248132,,,,,
2010.456284,2010,533,168,2010_168,-1.483558456,0.966078118,2.449636574,0.567144411,17.42,36.0973314,36.0973314,0.253933936,0.644175412,1.234062279,1.28102443,0.103621352,0.07181551,0.099191179,,,,,
2010.459016,2010,534,169,2010_169,-1.530752735,1.022605595,2.553358329,0.640701375,13.22,42.59133769,42.59133769,0.460028923,1.08655171,1.343526675,1.334160783,0.004089106,0.102990339,0.097066635,,,,,
2010.461749,2010,535,170,2010_170,-1.599407255,1.023440932,2.622848187,0.655029946,10.27,40.58771585,40.58771585,0.5164817,1.160202114,1.337763686,1.30235476,0.018703621,0.098798794,0.077792923,,,,,
2010.464481,2010,536,171,2010_171,-1.614652048,1.021099469,2.635751517,0.618952508,15,50.2862144,50.2862144,0.385906646,0.939492467,1.313636048,1.323394057,0.006659703,0.08557765,0.091382018,,,,,
2010.467213,2010,537,172,2010_172,-2.031620253,0.899784249,2.931404502,0.602948201,15.6,61.73594393,61.73594393,0.339104357,0.834018293,1.284572592,1.302907598,0.004325161,0.148062069,0.162508435,,,,,
2010.469945,2010,538,173,2010_173,-1.752975267,1.085078556,2.838053823,0.641033935,11.46,45.54737829,45.54737829,0.461266461,1.057350716,1.319158927,1.292667797,0.000768833,0.05479362,0.043093293,,,,,
2010.472678,2010,539,174,2010_174,-2.010153379,1.390444121,3.4005975,0.603570206,14.28,60.96481436,60.96481436,0.340812557,0.819613753,1.270195487,1.273012834,0.325847309,0.014459734,0.013790107,,,,,
2010.47541,2010,540,175,2010_175,-2.015854878,1.099633056,3.115487934,0.617839957,13.42,61.32656172,61.32656172,0.382453841,0.90640302,1.290503424,1.283127235,0.037337847,0.036431497,0.033670114,,,,,
